date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:17	394/394	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202015%2021:47:06%20GMT	http://www.nrccorp.com/robots.txt		(from )
13:22:17	7717/7717	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:07%20GMT	http://www.nrccorp.com/	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/index.html	(from )
13:22:17	395/395	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2011%20Sep%202015%2021:47:07%20GMT	http://www.nrccorp.com/mainmenu.js	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/mainmenu.js	(from http://www.nrccorp.com/)
13:22:18	2116/2116	---M--	200	added ('OK')	application/javascript	etag:%22388eb-844-48ca09a772c40%22	http://www.nrccorp.com/bsn.Crossfader.js	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/bsn.Crossfader.js	(from http://www.nrccorp.com/)
13:22:18	2140/2140	---M--	200	added ('OK')	application/javascript	etag:%22388ea-85c-48ca09a772c40%22	http://www.nrccorp.com/bsn.Crossfader_text.js	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/bsn.Crossfader_text.js	(from http://www.nrccorp.com/)
13:22:18	4257/4257	---M--	200	added ('OK')	text/css	etag:%2238922-10a1-4fa8e928f2f80%22	http://www.nrccorp.com/styles.css	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/styles.css	(from http://www.nrccorp.com/)
13:22:18	1268/1268	---M--	200	added ('OK')	image/png	etag:%223890c-4f4-4ef944d8b0f80%22	http://www.nrccorp.com/pics/bg1.png	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/pics/bg1.png	(from http://www.nrccorp.com/)
13:22:18	1826/1826	---M--	200	added ('OK')	image/png	etag:%2238916-722-4ef9235387a00%22	http://www.nrccorp.com/pics/logo.png	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/pics/logo.png	(from http://www.nrccorp.com/)
13:22:19	814/814	---M--	200	added ('OK')	image/gif	etag:%223890d-32e-4b6ff37819ec0%22	http://www.nrccorp.com/pics/spacer.gif	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/pics/spacer.gif	(from http://www.nrccorp.com/)
13:22:19	5922/5922	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:09%20GMT	http://www.nrccorp.com/company.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/company.html	(from http://www.nrccorp.com/)
13:22:19	5706/5706	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:09%20GMT	http://www.nrccorp.com/services.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/services.html	(from http://www.nrccorp.com/)
13:22:19	5205/5205	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:09%20GMT	http://www.nrccorp.com/clients.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/clients.html	(from http://www.nrccorp.com/)
13:22:20	5347/5347	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:10%20GMT	http://www.nrccorp.com/projects.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/projects.html	(from http://www.nrccorp.com/)
13:22:20	5453/5453	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:10%20GMT	http://www.nrccorp.com/staff.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/staff.html	(from http://www.nrccorp.com/)
13:22:20	5234/5234	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:10%20GMT	http://www.nrccorp.com/news.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/news.html	(from http://www.nrccorp.com/)
13:22:20	4443/4443	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:10%20GMT	http://www.nrccorp.com/library.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/library.html	(from http://www.nrccorp.com/)
13:22:21	4416/4416	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:10%20GMT	http://www.nrccorp.com/jobs.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/jobs.html	(from http://www.nrccorp.com/)
13:22:21	4534/4534	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:11%20GMT	http://www.nrccorp.com/contact.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/contact.html	(from http://www.nrccorp.com/)
13:22:21	7717/7717	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:11%20GMT	http://www.nrccorp.com/index.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/index-2.html	(from http://www.nrccorp.com/)
